Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.021911251437613518,0.009132088256715718,20.55143363866429,0.5398558818682788,0.001
2,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.007365987015267213,0.0057307023049916255,22.650390360988467,0.6355078433480482,0.001
3,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.004822261340779352,0.004201865655049092,24.095973607510498,0.7679316882057615,0.001
4,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0037658317474974583,0.0035518967088753895,24.887465908028986,0.8484564752092342,0.001
5,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.00331766048241091,0.0032780672512990605,25.267753121543066,0.8719941775625583,0.001
6,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0031164174788962987,0.0031366161765309713,25.474165814071053,0.8849625351556208,0.001
7,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0029997196782506623,0.0030456004548544266,25.62035106400312,0.8987279956666289,0.001
8,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0029221897416006207,0.0029843214446794515,25.71795190929693,0.9055430231349398,0.001
9,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0028712659427043746,0.002945475317116848,25.779521839766854,0.9093184464092264,0.001
10,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.002838337265144465,0.002917524708676978,25.82399548245015,0.9124645084983031,0.001
11,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.002814916390031155,0.002895564453855241,25.860732655067228,0.9152803424074999,0.001
12,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0027955631978052145,0.0028790420521113834,25.887827124299303,0.9168657298087451,0.001
13,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.002778871369016709,0.0028637043400378216,25.909155651674432,0.917935642372196,0.001
14,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0027632579828302064,0.002846210742485052,25.938179156201034,0.9201752039416321,0.001
15,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.00274738054170068,0.002832374353972027,25.959489412900417,0.9205145071444523,0.001
16,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.002732261520742023,0.0028161854893600535,25.987715117675435,0.9205581154264151,0.001
17,EDSR_Tiny_thermal_gray_x2,InfraredThermal32x24,0.0027161995896090897,0.002800451759985611,26.01380353593557,0.9236169816070123,0.001
