Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,ESPCN_Light_gray_x2,Flickr2K,0.05036186322358981,0.017552573829889298,18.949540128707884,0.42361425831913946,0.001
2,ESPCN_Light_gray_x2,Flickr2K,0.013633303807450915,0.007555007562041282,23.19811615943909,0.6526160660386086,0.001
3,ESPCN_Light_gray_x2,Flickr2K,0.005900670534948696,0.004528023321181535,25.01558921813965,0.7127746140956879,0.001
4,ESPCN_Light_gray_x2,Flickr2K,0.0038751486446357,0.00312926372513175,26.68545000076294,0.7765384444594383,0.001
5,ESPCN_Light_gray_x2,Flickr2K,0.003207071870389693,0.0029824138712137935,27.579827404022218,0.8086129635572433,0.001
6,ESPCN_Light_gray_x2,Flickr2K,0.002848944441362653,0.002430295692756772,28.268653602600097,0.8290817832946777,0.001
7,ESPCN_Light_gray_x2,Flickr2K,0.0025783047167900596,0.002715538954362273,27.670725994110107,0.8360692381858825,0.001
8,ESPCN_Light_gray_x2,Flickr2K,0.0024313365794577687,0.0020940411183983086,28.82689823150635,0.8478928688168526,0.001
9,ESPCN_Light_gray_x2,Flickr2K,0.0022636752372677876,0.002002265891060233,29.35082866668701,0.8565979683399201,0.001
10,ESPCN_Light_gray_x2,Flickr2K,0.0022354169504470982,0.002292106533423066,28.773988952636717,0.8573576015233993,0.001
11,ESPCN_Light_gray_x2,Flickr2K,0.0021687916782245323,0.0017576069897040725,29.698330059051514,0.8848571556806565,0.001
12,ESPCN_Light_gray_x2,Flickr2K,0.002030092623119928,0.001822269093245268,29.381901779174804,0.8740238150954247,0.001
