Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,CARN_M_x2,DIV2K,0.06362752303481102,0.020714697241783143,17.965974502563476,0.45165373995900154,0.001
2,CARN_M_x2,DIV2K,0.01728725083172321,0.012066226825118065,20.699557247161867,0.5452537670731544,0.001
3,CARN_M_x2,DIV2K,0.011944625005125999,0.010358188822865487,21.709128980636596,0.6135025969147683,0.001
4,CARN_M_x2,DIV2K,0.008967602234333754,0.006456807088106871,23.6668572807312,0.7366969448328018,0.001
5,CARN_M_x2,DIV2K,0.005401349626481533,0.003685465324670076,25.71490514755249,0.7657167369127273,0.001
6,CARN_M_x2,DIV2K,0.0035419171303510666,0.002779833758249879,27.91280287742615,0.8192654943466187,0.001
7,CARN_M_x2,DIV2K,0.00262429284863174,0.002340018767863512,28.827991313934326,0.83104094684124,0.001
8,CARN_M_x2,DIV2K,0.0025693525839596987,0.002477485937997699,29.059489059448243,0.8454986882209777,0.001
9,CARN_M_x2,DIV2K,0.0024505498819053172,0.0023997656535357237,28.8258203125,0.8563333588838578,0.001
10,CARN_M_x2,DIV2K,0.00214754119515419,0.0019925759546458722,29.86981824874878,0.8616541588306427,0.001
11,CARN_M_x2,DIV2K,0.002203994924202561,0.001894977493211627,30.14137638092041,0.8581938546895981,0.001
12,CARN_M_x2,DIV2K,0.002114454247057438,0.0019541570637375116,29.709341945648195,0.864821503162384,0.001
13,CARN_M_x2,DIV2K,0.0019359516724944115,0.0019435348641127347,30.00720293045044,0.8672977596521377,0.001
14,CARN_M_x2,DIV2K,0.0019851196371018886,0.0016881886310875416,30.15151767730713,0.8821433395147323,0.001
15,CARN_M_x2,DIV2K,0.0019630006048828364,0.0022018863819539547,30.156008815765382,0.8717498314380646,0.001
16,CARN_M_x2,DIV2K,0.0019501975830644369,0.001687863660044968,30.771119289398193,0.875642848610878,0.001
17,CARN_M_x2,DIV2K,0.0018181768991053105,0.0023998618684709073,29.72663206100464,0.865595763027668,0.001
18,CARN_M_x2,DIV2K,0.001725101270712912,0.001560159521177411,31.557894763946532,0.8871391922235489,0.001
19,CARN_M_x2,DIV2K,0.0017149724066257478,0.0015160040045157075,30.790324325561524,0.8836391538381576,0.001
20,CARN_M_x2,DIV2K,0.001770286848768592,0.0014869422931224107,31.325737495422363,0.8834883427619934,0.001
21,CARN_M_x2,DIV2K,0.0015260716667398811,0.0013677530363202094,32.20783414840698,0.8942338034510613,0.001
22,CARN_M_x2,DIV2K,0.0016949533345177769,0.0014745101565495134,31.87135307312012,0.8993662774562836,0.001
23,CARN_M_x2,DIV2K,0.001421618890017271,0.001484216609969735,32.03677410125732,0.8926314598321915,0.001
24,CARN_M_x2,DIV2K,0.0017143052490428091,0.0017534557916224003,31.208901138305663,0.8832808083295822,0.001
25,CARN_M_x2,DIV2K,0.0016857079416513444,0.0014592772722244263,31.92968318939209,0.9019990462064743,0.001
26,CARN_M_x2,DIV2K,0.0015114013478159905,0.0014712182059884072,32.05568405151367,0.9003332388401032,0.001
27,CARN_M_x2,DIV2K,0.0015678262850269676,0.0015908773709088565,31.806226940155028,0.8828042128682136,0.001
28,CARN_M_x2,DIV2K,0.0015750137297436595,0.0016230288660153747,31.919954833984374,0.8948619836568832,0.001
29,CARN_M_x2,DIV2K,0.001563197961077094,0.0016269458783790469,31.624010696411133,0.8991190093755722,0.001
30,CARN_M_x2,DIV2K,0.0015280873188748955,0.0010244441172108055,33.88378427505493,0.908949208855629,0.001
31,CARN_M_x2,DIV2K,0.0013444394478574395,0.0015970133570954203,32.07645713806152,0.8932817339897156,0.001
32,CARN_M_x2,DIV2K,0.001336455149576068,0.0014624701300635934,32.76479496002197,0.8996807724237442,0.001
33,CARN_M_x2,DIV2K,0.0014211185812018812,0.0016718444135040045,32.44711002349854,0.897846228480339,0.001
34,CARN_M_x2,DIV2K,0.0014721269253641367,0.001128625408746302,33.25215684890747,0.9111939668655396,0.001
35,CARN_M_x2,DIV2K,0.00137029180303216,0.001351499636657536,33.103234672546385,0.9043560200929641,0.001
36,CARN_M_x2,DIV2K,0.0013814983982592822,0.0013835753686726093,33.34079595565796,0.9085292744636536,0.001
37,CARN_M_x2,DIV2K,0.001423209006898105,0.0011867347080260515,33.53961975097656,0.907329118847847,0.001
38,CARN_M_x2,DIV2K,0.0013337489776313305,0.001521110946778208,33.57455381393433,0.9008513277769089,0.001
39,CARN_M_x2,DIV2K,0.0015937463007867337,0.0015916030015796423,32.847609996795654,0.9047813683748245,0.001
40,CARN_M_x2,DIV2K,0.0014080751687288284,0.0012103581987321377,32.014478092193606,0.906184795498848,0.001
41,CARN_M_x2,DIV2K,0.0014210259448736906,0.0015198429254814983,32.507574520111085,0.9017521035671234,0.001
42,CARN_M_x2,DIV2K,0.0014321576524525881,0.0014622288895770907,33.02039621353149,0.9036062812805176,0.001
43,CARN_M_x2,DIV2K,0.0014225936122238636,0.001119719692505896,34.227036476135254,0.9136059254407882,0.001
44,CARN_M_x2,DIV2K,0.0013490447076037527,0.0012849998520687222,34.37667221069336,0.9046564143896103,0.001
45,CARN_M_x2,DIV2K,0.0013253322127275168,0.0013794072065502405,33.49296859741211,0.905651878118515,0.001
46,CARN_M_x2,DIV2K,0.0012254798086360097,0.0012407764606177808,32.97990798950195,0.8978979915380478,0.001
