Epoch,Model,Dataset,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,LR
1,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00025503266454961703,0.00024846808239271923,39.408861278533934,0.975205115545116,0.0002
2,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00019804421673183016,0.00022318802186964605,39.90502478790283,0.9770879716178729,0.0002
3,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00018735522856309217,0.000208675500802201,40.17870188522339,0.9780599117301899,0.0002
4,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00017815738716876696,0.00020025279656692873,40.396842838287355,0.978930700673981,0.0002
5,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00016778228517443948,0.00019463114029713325,40.470027633666994,0.9793732100674839,0.0002
6,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00015971139059320195,0.00019872276967544168,40.39904778671264,0.9790350143876013,0.0002
7,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.0001607867971653718,0.0001898706594511168,40.56854774093628,0.979672025965383,0.0002
8,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00015194329888345236,0.00019111142505062162,40.552578330993654,0.97990487442562,0.0002
9,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.0001482232551675793,0.00018269364145635336,40.77091580581665,0.9804584091810855,0.0002
10,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00014527250461162565,0.00018256696371645375,40.71538447570801,0.9802577228305929,0.0002
11,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00014494539369047744,0.0001802926164964447,40.83780858612061,0.9806577725014819,0.0002
12,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00014050223129231655,0.0001754339046055975,40.8898556098938,0.9809972043088723,0.0002
13,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.000141604505385601,0.00017635892023463385,40.932908504486086,0.9810737780964925,0.0002
14,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00013477017312192173,0.0001745222387235117,40.93381601715088,0.9811760925393403,0.0002
15,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00013654736303834626,0.0001685648555703665,41.06565675735474,0.9817022400908201,0.0002
16,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00013087349733855548,0.0001696521656049299,41.05963206481933,0.9816311980514362,0.0002
17,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.0001249921385184507,0.00017382704310148255,41.01454049682617,0.9813769564176791,0.0002
18,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00013176834287821748,0.00016569349354176666,41.170915130615235,0.9820774203184032,0.0002
19,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00013055687271128135,0.00016359025664132787,41.20526890563965,0.9820854963278881,0.0002
20,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012368349104951903,0.0001658269334693614,41.150077293395995,0.9819961197036156,0.0002
21,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012622153135544067,0.00017882218014892714,40.84620581054688,0.9808677367666958,0.0002
22,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012365593019217157,0.00016446719676605425,41.19530940246582,0.9822011349414224,0.0002
23,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012413289210746824,0.00016417954835742422,41.216808422088626,0.9821612144196605,0.0002
24,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012309288870864066,0.0001669378954302374,41.191679962158204,0.9820456467599497,0.0002
25,Ablation_VSRPlusPlus_Vimeo90K_x2_7f,Vimeo90K,0.00012294103576209636,0.00016256160529883347,41.26244438934326,0.9823324438941177,0.0002
